Comment,Designator,Footprint,LCSC Part #
1.8k,R31,R0603,
1M,R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17,R0805,
1M,R18 R19 R20 R21 R22,R0603,
1N4148,D1,SOD123,
4.70k,R25,R0603,
10,R24,R0603,
33,R23,R0603,
47uF,C24,C0603,
100,R32,R0603,
100n,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C23,C0603,
220,R26 R33,R0603,
AUDIO-JACK-TRRS,J1 J2 J3,PJ-320D_SPARKFUN,C431535
H11L1MS,IC1,DIL6-SMD,C78589
MICROBUILDER_WS2812B_SK6812E,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14 LED15 LED16 LED17 LED18 LED19 LED20,MICROBUILDER_NEO3535_REVERSE,
RASPBERRY_PICOSMD,U1,PICO-PKG-SMD,
